"Word","Freq","Year"
"사회",297,1990
"정부",239,1990
"국민",209,1990
"지원",193,1990
"서울",179,1990
"기업",167,1990
"문제",156,1990
"사람",143,1990
"사업",132,1990
"경제",127,1990
"고용",123,1990
"생활",116,1990
"교육",114,1990
"마련",113,1990
"정치",113,1990
"자신",111,1990
"공제",110,1990
"장애",106,1990
"근로자",105,1990
"설치",102,1990
"지원",235,1991
"정부",213,1991
"서울",210,1991
"사회",192,1991
"사업",190,1991
"교육",175,1991
"고용",173,1991
"확대",169,1991
"사랑",161,1991
"국민",152,1991
"후보",149,1991
"문제",130,1991
"마련",129,1991
"추진",129,1991
"실시",127,1991
"시설",122,1991
"자신",121,1991
"사람",120,1991
"후보",1550,1992
"사회",808,1992
"서울",639,1992
"국민",612,1992
"유세",592,1992
"사람",587,1992
"교육",566,1992
"자당",554,1992
"민주",534,1992
"지원",503,1992
"정부",492,1992
"문제",464,1992
"확대",460,1992
"경제",446,1992
"자신",446,1992
"정치",443,1992
"시설",404,1992
"지역",391,1992
"대표",387,1992
"설치",382,1992
"교육",779,1993
"사회",551,1993
"서울",500,1993
"사람",496,1993
"문제",480,1993
"정부",478,1993
"행사",439,1993
"마련",385,1993
"지원",375,1993
"특수",369,1993
"한국",362,1993
"설치",357,1993
"시설",355,1993
"교회",349,1993
"사랑",343,1993
"국민",342,1993
"자신",340,1993
"개발",315,1993
"장애",299,1993
"일반",297,1993
"교육",784,1994
"사회",720,1994
"사람",561,1994
"서울",517,1994
"가정",500,1994
"교회",479,1994
"문제",473,1994
"정부",437,1994
"지원",432,1994
"사랑",427,1994
"가족",348,1994
"생활",345,1994
"마련",343,1994
"대학",341,1994
"사업",341,1994
"시설",341,1994
"공제",340,1994
"자신",335,1994
"장애",326,1994
"학교",324,1994
"사회",1004,1995
"교육",903,1995
"대학",886,1995
"서울",822,1995
"사람",710,1995
"지원",703,1995
"여성",692,1995
"학생",660,1995
"문제",649,1995
"정부",617,1995
"후보",605,1995
"노인",540,1995
"학교",519,1995
"교회",509,1995
"세계",497,1995
"시설",494,1995
"마련",462,1995
"대상",458,1995
"사랑",453,1995
"생활",449,1995
"교육",1477,1996
"사회",1275,1996
"서울",1109,1996
"사람",1064,1996
"국민",1014,1996
"의원",987,1996
"지원",923,1996
"학교",886,1996
"문제",837,1996
"후보",819,1996
"정부",809,1996
"설치",783,1996
"시설",743,1996
"생활",699,1996
"장애",697,1996
"사랑",668,1996
"회의",649,1996
"대학",644,1996
"노인",643,1996
"확대",642,1996
"사람",1074,1997
"사회",979,1997
"서울",882,1997
"교육",793,1997
"문제",703,1997
"학교",670,1997
"지원",659,1997
"국민",643,1997
"후보",618,1997
"사랑",587,1997
"교회",586,1997
"대학",574,1997
"시설",525,1997
"생각",497,1997
"정부",495,1997
"경제",469,1997
"여성",463,1997
"마련",462,1997
"자신",450,1997
"사업",449,1997
"사람",764,1998
"사회",710,1998
"서울",659,1998
"교육",640,1998
"지원",622,1998
"사업",580,1998
"학교",554,1998
"국민",524,1998
"사랑",510,1998
"학생",485,1998
"정부",442,1998
"문제",407,1998
"여성",394,1998
"마련",392,1998
"대상",389,1998
"생각",383,1998
"생활",369,1998
"시설",365,1998
"자신",344,1998
"대학",326,1998
"사람",1414,1999
"사회",1275,1999
"지원",985,1999
"서울",875,1999
"교육",871,1999
"여성",848,1999
"사랑",807,1999
"문제",775,1999
"학교",737,1999
"생활",703,1999
"교회",702,1999
"학생",701,1999
"생각",693,1999
"자신",686,1999
"사업",670,1999
"장애",633,1999
"방송",628,1999
"시설",599,1999
"정부",592,1999
"활동",590,1999
"사회",1509,2000
"사람",1412,2000
"교육",1306,2000
"서울",1293,2000
"지원",1121,2000
"여성",986,2000
"학교",960,2000
"문제",947,2000
"정부",936,2000
"장애",930,2000
"시설",905,2000
"생활",885,2000
"사랑",881,2000
"생각",831,2000
"설치",828,2000
"마련",822,2000
"대상",818,2000
"노인",806,2000
"자신",790,2000
"교회",741,2000
"사람",1632,2001
"사회",1543,2001
"서울",1406,2001
"교육",1330,2001
"장애",1262,2001
"사랑",1166,2001
"학교",1015,2001
"지원",985,2001
"교회",955,2001
"자신",940,2001
"학생",929,2001
"여성",914,2001
"문제",903,2001
"생활",852,2001
"생각",830,2001
"한국",794,2001
"미국",778,2001
"정부",776,2001
"시설",774,2001
"휠체어",746,2001
"후보",2576,2002
"사회",2318,2002
"사람",2075,2002
"서울",2038,2002
"교육",1647,2002
"지원",1632,2002
"문제",1435,2002
"장애",1423,2002
"교회",1377,2002
"여성",1336,2002
"사랑",1275,2002
"생각",1213,2002
"시설",1190,2002
"자신",1177,2002
"학생",1093,2002
"생활",1083,2002
"한국",1077,2002
"학교",1067,2002
"노인",1043,2002
"대학",1010,2002
"사회",2443,2003
"사람",2037,2003
"서울",1893,2003
"교회",1809,2003
"교육",1631,2003
"지원",1490,2003
"장애",1486,2003
"사랑",1359,2003
"문제",1293,2003
"여성",1243,2003
"생각",1206,2003
"정부",1200,2003
"생활",1184,2003
"학교",1153,2003
"자신",1105,2003
"가족",1046,2003
"시작",1034,2003
"시설",988,2003
"한국",985,2003
"대상",980,2003
"사회",3131,2004
