"vectordata","Freq","year"
"여성",104172,2015
"사람",27143,2015
"경찰",23349,2015
"남성",21950,2015
"시간",20804,2015
"때문",20158,2015
"자신",19630,2015
"문제",19052,2015
"사회",18408,2015
"한국",17967,2015
"미국",17758,2015
"사진",17290,2015
"이상",17148,2015
"경우",16320,2015
"생각",15929,2015
"서울",15747,2015
"우리",15269,2015
"만원",14764,2015
"환자",14472,2015
"지난해",14275,2015
"관계",13895,2015
"정부",13797,2015
"결과",13143,2015
"시작",13060,2015
"이번",12964,2015
"대표",12917,2015
"사건",12493,2015
"일본",12491,2015
"혐의",12241,2015
"세계",11951,2015
"사실",11926,2015
"이후",11727,2015
"모습",11609,2015
"조사",11318,2015
"방송",11084,2015
"여자",10901,2015
"활동",10822,2015
"관련",10792,2015
"정도",10705,2015
"당시",10652,2015
"공개",10486,2015
"영화",10460,2015
"가족",10453,2015
"중국",10120,2015
"치료",9984,2015
"병원",9910,2015
"결혼",9871,2015
"사랑",9862,2015
"이유",9812,2015
"이날",9805,2015
